order_id,customer_id,order_date
1,2,2024-12-04
2,53,2024-05-07
3,44,2024-02-29
4,90,2024-07-03
5,32,2024-03-08
6,70,2024-01-19
7,32,2024-03-30
8,68,2024-06-23
9,55,2024-08-20
10,75,2024-06-19
11,56,2024-09-10
12,17,2024-12-02
13,38,2024-01-04
14,24,2024-02-29
15,69,2024-10-26
16,98,2024-03-30
17,70,2024-05-30
18,86,2024-09-11
19,11,2024-02-27
20,16,2024-05-03
21,97,2024-06-10
22,73,2024-01-19
23,59,2024-10-09
24,70,2024-04-18
25,80,2024-07-30
26,93,2024-02-29
27,3,2024-08-29
28,20,2024-10-30
29,59,2024-04-03
30,36,2024-02-04
31,19,2024-06-04
32,90,2024-01-01
33,67,2024-01-27
34,19,2024-10-11
35,20,2024-10-03
36,96,2024-12-27
37,71,2024-03-27
38,52,2024-12-14
39,33,2024-07-29
40,40,2024-07-03
41,39,2024-03-30
42,82,2024-03-09
43,1,2024-05-27
44,11,2024-05-27
45,92,2024-10-19
46,57,2024-07-22
47,89,2024-02-29
48,50,2024-05-19
49,23,2024-08-23
50,31,2024-03-20
51,94,2024-09-03
52,42,2024-06-14
53,99,2024-07-29
54,7,2024-03-03
55,16,2024-04-09
56,90,2024-07-03
57,60,2024-06-29
58,2,2024-02-16
59,1,2024-12-13
60,48,2024-01-18
61,12,2024-03-30
62,69,2024-02-21
63,37,2024-04-16
64,32,2024-11-12
65,9,2024-05-09
66,99,2024-11-18
67,19,2024-05-21
68,48,2024-06-22
69,80,2024-04-06
70,3,2024-08-03
71,20,2024-06-21
72,24,2024-03-05
73,54,2024-11-02
74,33,2024-03-12
75,24,2024-05-24
76,75,2024-10-05
77,72,2024-04-02
78,36,2024-04-26
79,38,2024-08-16
80,84,2024-08-28
81,99,2024-08-26
82,89,2024-01-28
83,99,2024-03-26
84,25,2024-05-11
85,93,2024-04-01
86,18,2024-07-11
87,82,2024-06-22
88,66,2024-01-03
89,54,2024-05-18
90,35,2024-11-17
91,80,2024-10-13
92,61,2024-05-27
93,41,2024-09-21
94,100,2024-01-03
95,33,2024-05-24
96,68,2024-09-19
97,33,2024-03-26
98,14,2024-12-27
99,21,2024-10-14
100,48,2024-08-17
101,20,2024-02-03
102,8,2024-04-15
103,7,2024-08-10
104,67,2024-11-02
105,17,2024-08-06
106,33,2024-03-11
107,48,2024-07-08
108,76,2024-07-31
109,59,2024-09-25
110,86,2024-11-28
111,22,2024-10-04
112,30,2024-08-23
113,38,2024-03-03
114,51,2024-10-07
115,54,2024-09-11
116,8,2024-11-22
117,27,2024-11-04
118,27,2024-09-30
119,98,2024-11-02
120,21,2024-07-23
121,30,2024-05-09
122,97,2024-05-26
123,28,2024-08-27
124,64,2024-03-18
125,97,2024-10-16
126,69,2024-10-13
127,61,2024-10-14
128,48,2024-02-10
129,19,2024-06-24
130,4,2024-04-28
131,35,2024-08-10
132,64,2024-03-18
133,49,2024-01-13
134,17,2024-11-20
135,44,2024-01-31
136,92,2024-09-19
137,30,2024-07-11
138,93,2024-11-06
139,46,2024-05-31
140,6,2024-03-12
141,99,2024-04-08
142,37,2024-07-11
143,24,2024-07-27
144,93,2024-06-30
145,46,2024-03-13
146,53,2024-04-22
147,95,2024-07-31
148,99,2024-04-03
149,60,2024-09-21
150,97,2024-07-05
151,63,2024-01-27
152,85,2024-08-29
153,32,2024-05-05
154,87,2024-07-28
155,33,2024-10-14
156,67,2024-01-19
157,18,2024-10-08
158,25,2024-11-20
159,95,2024-08-07
160,54,2024-01-07
161,58,2024-06-02
162,67,2024-01-27
163,46,2024-03-02
164,24,2024-11-22
165,32,2024-11-26
166,47,2024-06-20
167,86,2024-03-06
168,23,2024-06-16
169,66,2024-12-19
170,27,2024-05-10
171,2,2024-04-20
172,90,2024-10-04
173,17,2024-12-05
174,33,2024-12-04
175,9,2024-01-31
176,43,2024-10-11
177,48,2024-11-22
178,39,2024-01-22
179,93,2024-03-08
180,42,2024-09-18
181,26,2024-11-02
182,99,2024-09-24
183,50,2024-05-31
184,25,2024-11-19
185,24,2024-09-16
186,13,2024-12-15
187,60,2024-05-01
188,7,2024-11-04
189,57,2024-12-20
190,36,2024-12-28
191,45,2024-12-15
192,20,2024-03-25
193,65,2024-03-06
194,8,2024-04-13
195,16,2024-02-22
196,14,2024-08-18
197,76,2024-02-01
198,87,2024-01-22
199,15,2024-05-18
200,92,2024-11-30
201,98,2024-07-19
202,66,2024-09-01
203,32,2024-08-13
204,87,2024-05-02
205,63,2024-05-25
206,86,2024-07-25
207,51,2024-10-03
208,25,2024-04-16
209,58,2024-11-05
210,63,2024-11-11
211,62,2024-07-04
212,22,2024-12-11
213,58,2024-09-30
214,58,2024-01-10
215,86,2024-07-01
216,49,2024-08-21
217,52,2024-10-13
218,42,2024-09-16
219,70,2024-05-17
220,15,2024-08-20
221,54,2024-04-05
222,60,2024-11-20
223,97,2024-04-02
224,8,2024-01-28
225,53,2024-11-03
226,60,2024-01-24
227,5,2024-04-17
228,68,2024-07-03
229,6,2024-02-08
230,96,2024-12-07
231,94,2024-08-28
232,47,2024-05-13
233,99,2024-12-01
234,55,2024-06-17
235,40,2024-02-07
236,52,2024-09-25
237,16,2024-09-10
238,13,2024-03-29
239,30,2024-02-11
240,19,2024-01-02
241,17,2024-05-01
242,63,2024-05-30
243,19,2024-09-06
244,92,2024-02-29
245,58,2024-05-04
246,55,2024-09-09
247,90,2024-10-23
248,90,2024-11-18
249,62,2024-09-17
250,23,2024-12-25
251,9,2024-02-27
252,12,2024-06-19
253,1,2024-11-27
254,58,2024-07-11
255,1,2024-06-01
256,34,2024-10-17
257,96,2024-07-31
258,48,2024-01-23
259,89,2024-04-12
260,1,2024-04-30
261,16,2024-01-31
262,61,2024-01-07
263,64,2024-07-10
264,63,2024-03-25
265,69,2024-06-05
266,22,2024-11-21
267,93,2024-06-10
268,67,2024-09-19
269,76,2024-07-13
270,26,2024-06-06
271,16,2024-06-08
272,51,2024-09-05
273,86,2024-11-27
274,57,2024-07-29
275,29,2024-08-29
276,78,2024-06-30
277,92,2024-07-22
278,69,2024-02-23
279,47,2024-05-17
280,94,2024-11-13
281,62,2024-04-25
282,69,2024-07-14
283,76,2024-03-06
284,16,2024-07-18
285,90,2024-06-24
286,90,2024-07-11
287,48,2024-10-30
288,85,2024-01-17
289,39,2024-10-07
290,100,2024-06-18
291,33,2024-07-18
292,94,2024-05-28
293,23,2024-08-19
294,10,2024-02-28
295,69,2024-03-14
296,100,2024-10-15
297,34,2024-07-17
298,52,2024-05-13
299,95,2024-04-09
300,10,2024-01-05
